
2025/08/28 (22:07:51) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/28 (22:21:13) | WARNING: Failed to join _runner thread on exit!

2025/08/29 (14:39:43) | ===> btop++ v.1.3.2
2025/08/29 (14:39:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/29 (14:39:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/29 (19:03:46) | WARNING: Failed to join _runner thread on exit!

2025/08/29 (19:53:40) | ===> btop++ v.1.3.2
2025/08/29 (19:53:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/29 (19:53:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/29 (19:54:53) | WARNING: Failed to join _runner thread on exit!

2025/08/29 (19:55:22) | ===> btop++ v.1.3.2
2025/08/29 (19:55:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/29 (19:55:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/29 (20:08:52) | WARNING: Failed to join _runner thread on exit!

2025/08/29 (21:53:28) | ===> btop++ v.1.3.2
2025/08/29 (21:53:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/29 (21:53:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/29 (22:02:08) | WARNING: Failed to join _runner thread on exit!

2025/08/29 (23:49:24) | ===> btop++ v.1.3.2
2025/08/29 (23:49:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/08/29 (23:49:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/08/30 (07:36:53) | WARNING: Failed to join _runner thread on exit!

2025/09/01 (11:40:16) | ===> btop++ v.1.3.2
2025/09/01 (11:40:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/01 (11:40:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/09/01 (12:57:21) | ===> btop++ v.1.3.2
2025/09/01 (12:57:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/01 (12:57:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/09/01 (20:17:22) | ===> btop++ v.1.3.2
2025/09/01 (20:17:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/01 (20:17:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/09/01 (20:17:27) | WARNING: Failed to join _runner thread on exit!

2025/09/02 (08:53:11) | ===> btop++ v.1.3.2
2025/09/02 (08:53:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/02 (08:53:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/09/02 (19:06:43) | ===> btop++ v.1.3.2
2025/09/02 (19:06:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/02 (19:06:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/09/02 (19:18:11) | WARNING: Failed to join _runner thread on exit!

2025/09/02 (21:35:21) | ===> btop++ v.1.3.2
2025/09/02 (21:35:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/02 (21:35:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/09/02 (21:51:35) | ===> btop++ v.1.3.2
2025/09/02 (21:51:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/02 (21:51:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/09/03 (12:43:22) | ===> btop++ v.1.3.2
2025/09/03 (12:43:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/03 (12:43:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/09/03 (12:43:26) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/09/03 (12:43:35) | ===> btop++ v.1.3.2
2025/09/03 (12:43:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/03 (12:43:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/09/03 (13:28:20) | WARNING: Failed to join _runner thread on exit!

2025/09/03 (13:29:25) | ===> btop++ v.1.3.2
2025/09/03 (13:29:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/03 (13:29:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/09/04 (08:08:40) | ===> btop++ v.1.3.2
2025/09/04 (08:08:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/04 (08:08:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/09/04 (08:08:49) | WARNING: Failed to join _runner thread on exit!

2025/09/04 (08:16:58) | ===> btop++ v.1.3.2
2025/09/04 (08:16:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/04 (08:16:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/09/04 (10:30:43) | ===> btop++ v.1.3.2
2025/09/04 (10:30:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/04 (10:30:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/09/04 (20:13:12) | ===> btop++ v.1.3.2
2025/09/04 (20:13:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/04 (20:13:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/09/04 (20:20:32) | WARNING: Failed to join _runner thread on exit!

2025/09/04 (21:51:25) | ===> btop++ v.1.3.2
